প্রজেস্টেরন B-HORMONE
হ্রাস O
করে O
এবং O
গর্ভাবস্থায় O
স্তন্যদানকে O
বাধা O
দেয়। O
এটি O
জরায়ু O
গহ্বরের O
মধ্যে O
প্রদাহজনক O
মধ্যস্থতাকারীদের O
উৎপাদনকেও O
প্রভাবিত O
করে। O

জিংক O
ট্যাবলেট O
বিভিন্ন O
শক্তিতে O
পাওয়া O
যায়। O
ডোজ O
এবং O
প্রয়োগের O
পদ্ধতি O
রোগীর O
বয়স, O
ওজন O
এবং O
জিংকের O
ঘাটতির O
তীব্রতার O
উপর O
নির্ভর O
করে। O

ভিটামিন O
বি O
কমপ্লেক্স O
সঠিক O
ডোজ O
প্রেসক্রিপশনের O
জন্য O
সর্বদা O
একজন O
ডাক্তারের O
সাথে O
পরামর্শ O
করুন। O

এজিথ্রোমাইসিন O
ঠান্ডা O
ও O
শুষ্ক O
জায়গায় O
রাখুন, O
আলো O
এবং O
আর্দ্রতা O
থেকে O
দূরে। O
শিশুদের O
নাগালের O
বাইরে O
রাখুন। O

আমার O
একটু O
পর O
পর O
ই O
ক্ষুধা B-SYMPTOM
লাগে O
আর O
অনেক O
দূর্বল B-SYMPTOM
লাগে O

এটি O
শরীরের O
পক্ষে O
কার্যকরভাবে O
ইনসুলিন B-HORMONE
ব্যবহার O
করা O
সহজ O
করে O
তোলে। O
যাইহোক, O
ডায়াবেটিক B-DISEASE
কেটোঅ্যাসিডোসিস I-DISEASE
প্রতিরোধে O
গ্লিমিপিরাইড O
ব্যবহার O
করা O
হয় O
না। O

সেফিক্সাইম-এর O
প্রতিটি O
ট্যাবলেটের O
কেন্দ্রে O
একটি O
লাইন O
আছে O
যা O
দিয়ে O
চলছে। O
যদি O
আপনার O
ডাক্তার O
আপনাকে O
শুধুমাত্র O
অর্ধেক O
পিল O
নিতে O
নির্দেশ O
দেয়, O
তবে O
লাইনে O
আলতো O
করে O
ভেঙে O
দিন। O
ট্যাবলেটের O
অবশিষ্ট O
অর্ধেক O
আপনার O
পরবর্তী O
ডোজের O
জন্য O
নির্ধারিত O
হিসাবে O
সংরক্ষণ O
করুন। O

তীব্র O
হৃদস্পন্দন, O
তৃষ্ণা O
বা O
প্রস্রাব O
বৃদ্ধি, O
বিরক্তি, O
অস্বাভাবিক O
ক্লান্তি, O
দুর্বলতা, O
ঝাপসা O
দৃষ্টি, O
বা O
পড়তে O
অসুবিধা, O
হাড়ের O
ব্যথা, O
পেশী O
ব্যথা, O
কোমলতা, O
এর O
মতো O
লক্ষণগুলি O
অনুভব O
করলে O
আপনার O
ডাক্তারের O
সাথে O
পরামর্শ O
করুন। O

ফিউরোসেমাইড O
একটি O
মনোসালফোনাইল B-PHARMACOLOGICAL_CLASS
ডায়ুরেটিক। O

আমার O
মেয়ে O
এর O
অনেক O
বুক B-ORGAN
এ O
ব্যথা B-SYMPTOM
হয় O
আর O
বমি B-SYMPTOM
এর O
ভাব B-SYMPTOM
হয় O
কিছু O
খেতে O
চায় O
না O
বলে O
খেলে O
ই O
বমি B-SYMPTOM
হবে O
কাশি B-SYMPTOM
দেওয়া O
এর O
সময় O
বুক B-ORGAN
এ O
অনেক O
ব্যথা B-SYMPTOM
করে O
আর O
ওর O
শরীর B-ORGAN
অনেক O
দূর্বল B-SYMPTOM
হয়ে O
গিয়েছে O

প্যারা-অ্যামিনোসিলসাইক্লিক O
এসিডের O
সাথে O
দেখা O
দিতে O
পারে O
(উচ্চ O
ডোজ O
প্যারেন্টেরাল), O
ফেনিলবুটাজোন, O
অক্সিফেনবুটাজোন, O
কুইনোলোনস, O
স্যালিসিলেটস, O
সালফোনামাইডস, O
টেট্রাসাইক্লাইনস, O
oc O
ব্লকার। O

ক্লোপিডোগ্রেল O
সতর্কতা:রক্তপাতের O
ঝুঁকি: O
গুরুতর O
রক্তপাতের O
জন্য O
সম্ভাব্য; O
অবিলম্বে O
রক্তপাতের O
কোনো O
লক্ষণ O
রিপোর্ট O
করুন। O

শিশুর O
স্বাভাবিক O
অনাবৃত O
অংশে O
, O
মুখ B-ORGAN
, O
হাত–পা B-ORGAN
সপ্তাহে O
২ O
- O
৩ O
দিন O
প্রতিবার O
২০ O
মিনিটের O
মতো O
রোদ O
লাগলেই O
শিশুর O
জন্য O
প্রয়োজনীয় O
ভিটামিন O
ডি O
তৈরি O
হয়ে O
যায় O
। O

আমি O
বেশিক্ষন O
রোদ O
এ O
তাকিয়ে O
থাকতে O
পারি O
না O
অস্বস্তি B-SYMPTOM
লাগে O

আমি O
স্কিন B-ORGAN
অনেক O
চুল্কায় B-SYMPTOM
আর O
ধরলে O
ব্যথা B-SYMPTOM
করে O

যদি O
এগুলো O
সঠিক O
মাত্রায় O
উৎপন্ন O
না O
হয় O
, O
তাহলে O
রক্তশূন্যতা B-DISEASE
, O
রক্তক্ষরণ B-DISEASE
ও O
রোগ B-DISEASE
প্রতিরোধক্ষমতা I-DISEASE
কমে I-DISEASE
গিয়ে O
ইনফেকশন B-DISEASE
হয়ে O
থাকে O
। O

আমি O
অতিরিক্ত O
টেনশন B-SYMPTOM
করলে O
ঘুম B-SYMPTOM
ঠিকমত O
হয় O
না O

আমার O
পুরো O
শরীর B-ORGAN
এ O
ছোট O
ছোট O
অনেক O
গোটা B-SYMPTOM
হয়েছে O

সেফডিনির O
একটি O
বহুমুখী B-PHARMACOLOGICAL_CLASS
অ্যান্টিবায়োটিক I-PHARMACOLOGICAL_CLASS
যা O
অনেক O
ব্যাকটেরিয়া O
সংক্রমণের O
চিকিৎসায় O
ব্যবহৃত O
হয়। O
এটি O
গ্রাম-পজিটিভ O
এবং O
গ্রাম-নেগেটিভ O
ব্যাকটেরিয়া O
দ্বারা O
সৃষ্ট O
সংক্রমণের O
বিরুদ্ধে O
বিশেষভাবে O
শক্তিশালী। O

ভিটামিন B-PHARMACOLOGICAL_CLASS
বি O
কমপ্লেক্স O
আমাদের O
শরীরের O
স্বাস্থ্য O
বজায় O
রাখতে O
গুরুত্বপূর্ণ O
ভূমিকা O
পালন O
করে, O
তবে O
যেহেতু O
এটি O
একটি O
জলে O
দ্রবণীয় O
ভিটামিন O
তাই O
এটি O
প্রস্রাবের O
মাধ্যমে O
শরীর O
থেকে O
নির্গত O
হতে O
পারে। O
ভিটামিন O
বি-এর O
অত্যধিক O
ক্ষতির O
ফলে O
ঘাটতি O
দেখা O
দিতে O
পারে, O
বিশেষ O
করে O
যদি O
ব্যক্তির O
খাদ্যে O
ভিটামিন O
বি-সমৃদ্ধ O
খাবারের O
অভাব O
থাকে, O
যার O
জন্য O
ভিটামিন O
বি O
কমপ্লেক্স O
নির্ধারিত O
হতে O
পারে। O

মাথাব্যথা B-DISEASE
, O
গাব্যথা B-DISEASE
হলেও O
এই O
বড়ি O
গ্রহণ O
করা O
যেতে O
পারে O
। O

